iter	Passed	Remaining
0	1	163
1	3	160
2	4	148
3	5	135
4	6	132
5	8	129
6	9	128
7	11	128
8	12	127
9	13	125
10	15	124
11	16	123
12	18	121
13	19	119
14	20	117
15	22	116
16	23	114
17	24	112
18	26	112
19	27	110
20	29	111
21	31	112
22	33	110
23	34	108
24	35	107
25	36	105
26	38	103
27	39	101
28	41	100
29	42	99
30	43	97
31	45	96
32	46	94
33	47	92
34	49	91
35	50	89
36	51	88
37	53	86
38	54	85
39	56	84
40	58	84
41	59	82
42	61	81
43	63	81
44	65	79
45	66	78
46	68	76
47	69	75
48	71	74
49	72	72
50	73	70
51	75	69
52	76	67
53	77	66
54	78	64
55	79	62
56	81	61
57	82	59
58	83	58
59	85	57
60	87	55
61	88	54
62	89	52
63	91	51
64	92	49
65	93	48
66	95	46
67	96	45
68	97	43
69	99	42
70	100	41
71	102	39
72	103	38
73	104	36
74	106	35
75	107	33
76	108	32
77	109	30
78	111	29
79	112	28
80	114	26
81	116	25
82	117	24
83	118	22
84	120	21
85	121	19
86	122	18
87	124	16
88	125	15
89	126	14
90	128	12
91	130	11
92	131	9
93	133	8
94	134	7
95	135	5
96	136	4
97	138	2
98	139	1
99	140	0
