iter	Passed	Remaining
0	133	133469
1	147	73779
2	153	51001
3	156	39020
4	158	31636
5	161	26686
6	163	23152
7	167	20812
8	170	18753
9	172	17072
10	174	15693
11	176	14548
12	178	13533
13	180	12684
14	181	11932
15	183	11256
16	184	10658
17	185	10125
18	186	9648
19	188	9218
20	189	8837
21	191	8491
22	192	8197
23	194	7911
24	196	7647
25	197	7395
26	198	7160
27	199	6941
28	201	6737
29	202	6550
30	203	6375
31	205	6208
32	207	6071
33	208	5931
34	210	5797
35	211	5666
36	212	5541
37	214	5424
38	215	5312
39	216	5207
40	218	5106
41	219	5014
42	223	4963
43	224	4879
44	225	4793
45	227	4711
46	228	4632
47	229	4558
48	231	4487
49	232	4419
50	234	4361
51	236	4307
52	238	4253
53	239	4192
54	240	4134
55	241	4078
56	243	4024
57	244	3971
58	245	3920
59	247	3870
60	248	3825
61	251	3800
62	253	3762
63	254	3719
64	255	3677
65	257	3637
66	258	3596
67	259	3558
68	260	3521
69	262	3484
70	264	3459
71	265	3428
72	267	3396
73	268	3362
74	270	3330
75	271	3299
76	272	3268
77	273	3237
78	275	3207
79	276	3178
80	277	3153
81	279	3132
82	280	3101
83	282	3077
84	283	3052
85	284	3027
86	286	3002
87	287	2978
88	288	2954
89	289	2931
90	291	2909
91	293	2894
92	295	2877
93	296	2859
94	298	2839
95	299	2818
96	300	2798
97	301	2778
98	303	2758
99	304	2739
100	305	2720
101	307	2709
102	309	2694
103	310	2679
104	312	2661
105	313	2644
106	314	2627
107	316	2610
108	317	2594
109	318	2578
110	319	2562
111	322	2553
112	324	2544
113	325	2529
114	326	2514
115	328	2500
116	329	2483
117	330	2469
118	331	2455
119	332	2441
120	334	2427
121	336	2418
122	339	2418
123	340	2407
124	342	2394
125	343	2382
126	344	2367
127	345	2355
128	347	2343
129	348	2331
130	350	2323
131	352	2317
132	353	2307
133	355	2295
134	356	2284
135	357	2272
136	359	2262
137	360	2253
138	364	2257
139	370	2277
140	372	2268
141	374	2264
142	377	2261
143	384	2288
144	387	2283
145	389	2279
146	391	2271
147	392	2261
148	394	2253
149	397	2250
150	398	2242
151	400	2234
152	401	2225
153	403	2215
154	404	2206
155	406	2198
156	407	2189
157	409	2184
158	411	2178
159	413	2171
160	414	2160
161	416	2156
162	420	2160
163	423	2159
164	427	2165
165	429	2157
166	431	2150
167	432	2142
168	434	2134
169	435	2126
170	437	2119
171	439	2113
172	440	2107
173	442	2100
174	445	2100
175	447	2092
176	448	2085
177	450	2078
178	451	2071
179	453	2066
180	455	2060
181	456	2053
182	460	2055
183	461	2048
184	463	2041
185	465	2035
186	466	2030
187	468	2024
188	471	2021
189	472	2014
190	473	2007
191	475	2000
192	476	1993
193	478	1986
194	479	1980
195	481	1976
196	483	1971
197	486	1969
198	490	1972
199	492	1971
200	494	1967
201	497	1965
202	501	1968
203	502	1961
204	504	1957
205	506	1951
206	507	1945
207	509	1939
208	511	1935
209	513	1931
210	515	1928
211	517	1922
212	518	1917
213	521	1913
214	522	1907
215	524	1901
216	525	1897
217	527	1892
218	529	1887
219	530	1881
220	532	1875
221	534	1872
222	536	1868
223	537	1862
224	539	1856
225	540	1852
226	542	1848
227	544	1843
228	545	1837
229	547	1831
230	549	1829
231	550	1823
232	552	1818
233	553	1812
234	555	1808
235	557	1804
236	558	1799
237	560	1793
238	561	1787
239	563	1783
240	564	1777
241	565	1771
242	566	1766
243	568	1760
244	570	1756
245	571	1752
246	573	1747
247	574	1742
248	576	1737
249	577	1732
250	578	1727
251	580	1721
252	581	1716
253	582	1711
254	584	1707
255	586	1703
256	587	1699
257	589	1694
258	590	1689
259	592	1685
260	593	1680
261	594	1675
262	595	1669
263	597	1664
264	600	1665
265	602	1663
266	604	1658
267	605	1654
268	609	1656
269	611	1653
270	614	1654
271	616	1651
272	618	1646
273	619	1642
274	621	1638
275	622	1633
276	624	1629
277	625	1624
278	626	1619
279	628	1616
280	630	1612
281	631	1608
282	633	1604
283	634	1599
284	636	1596
285	637	1592
286	639	1587
287	640	1584
288	642	1581
289	644	1577
290	645	1573
291	647	1569
292	648	1565
293	650	1562
294	652	1558
295	653	1554
296	654	1549
297	656	1545
298	657	1542
299	659	1538
300	661	1535
301	662	1531
302	663	1526
303	665	1523
304	666	1519
305	667	1514
306	669	1510
307	670	1506
308	672	1503
309	673	1500
310	675	1496
311	676	1492
312	678	1488
313	679	1485
314	681	1481
315	682	1477
316	683	1473
317	684	1468
318	686	1465
319	688	1462
320	689	1459
321	691	1455
322	692	1451
323	693	1447
324	695	1444
325	696	1440
326	697	1436
327	699	1432
328	700	1429
329	702	1425
330	703	1422
331	705	1419
332	706	1415
333	708	1412
334	709	1408
335	710	1404
336	712	1400
337	713	1397
338	714	1393
339	716	1391
340	718	1388
341	719	1384
342	721	1381
343	723	1379
344	724	1376
345	726	1373
346	728	1370
347	730	1368
348	731	1365
349	733	1362
350	734	1358
351	736	1355
352	737	1352
353	739	1348
354	740	1345
355	741	1341
356	742	1338
357	744	1335
358	746	1333
359	748	1330
360	749	1326
361	750	1323
362	752	1320
363	753	1317
364	755	1313
365	756	1310
366	757	1306
367	759	1304
368	761	1301
369	762	1298
370	764	1295
371	765	1292
372	766	1289
373	768	1285
374	769	1282
375	770	1279
376	771	1275
377	773	1272
378	775	1270
379	776	1267
380	778	1264
381	779	1261
382	781	1258
383	782	1255
384	783	1251
385	784	1248
386	786	1245
387	787	1242
388	789	1239
389	791	1237
390	792	1234
391	793	1231
392	795	1228
393	796	1225
394	797	1222
395	799	1218
396	800	1215
397	802	1213
398	803	1210
399	805	1208
400	806	1205
401	808	1202
402	809	1199
403	811	1196
404	812	1193
405	813	1190
406	815	1187
407	817	1185
408	818	1183
409	820	1180
410	821	1177
411	823	1174
412	824	1171
413	825	1168
414	827	1165
415	828	1162
416	829	1159
417	831	1157
418	833	1155
419	834	1152
420	836	1149
421	837	1146
422	838	1144
423	840	1141
424	841	1138
425	842	1135
426	843	1132
427	846	1130
428	848	1129
429	849	1126
430	851	1123
431	852	1120
432	854	1118
433	855	1115
434	856	1112
435	858	1109
436	859	1107
437	861	1105
438	862	1102
439	864	1100
440	865	1097
441	866	1094
442	868	1091
443	869	1089
444	870	1086
445	872	1083
446	873	1080
447	875	1078
448	877	1076
449	879	1074
450	881	1072
451	882	1070
452	884	1067
453	885	1064
454	886	1061
455	887	1059
456	889	1056
457	890	1054
458	892	1052
459	894	1049
460	895	1046
461	897	1044
462	899	1042
463	900	1040
464	902	1038
465	903	1035
466	905	1033
467	907	1031
468	908	1029
469	910	1026
470	912	1024
471	914	1022
472	915	1020
473	917	1017
474	919	1016
475	920	1013
476	922	1011
477	924	1009
478	925	1006
479	927	1004
480	928	1002
481	930	999
482	931	997
483	933	995
484	935	993
485	937	991
486	939	989
487	940	986
488	942	984
489	943	982
490	945	979
491	947	978
492	949	976
493	950	973
494	952	971
495	953	969
496	955	967
497	957	965
498	959	963
499	960	960
500	963	959
501	965	957
502	967	956
503	969	954
504	971	952
505	973	950
506	974	947
507	976	945
508	978	943
509	980	942
510	982	940
511	985	938
512	986	936
513	988	934
514	990	932
515	992	931
516	995	929
517	997	927
518	999	925
519	1000	923
520	1002	921
521	1003	919
522	1005	916
523	1007	915
524	1010	914
525	1012	912
526	1014	910
527	1015	908
528	1017	905
529	1019	903
530	1020	901
531	1022	899
532	1024	898
533	1027	896
534	1029	894
535	1030	892
